Origin,Destination,Total
Kansas,Oklahoma,1651
Georgia,Tennessee,1641
Illinois,Kansas,1628
Maryland,Missouri,1618
Washington,Indiana,1611
Maryland,Ohio,1598
New Mexico,Washington,1593
Missouri,North Carolina,1588
California,New Mexico,1585
Kentucky,Colorado,1581
Wisconsin,Missouri,1580
Alaska,Oregon,1576
Hawaii,Oregon,1568
Colorado,Montana,1566
Louisiana,North Carolina,1560
Virginia,North Carolina,1556
Texas,District of Columbia,1551
Texas,Arkansas,1545
New Jersey,Maryland,1544
Nevada,Utah,1538
Iowa,California,1538
District of Columbia,Pennsylvania,1515
Michigan,Wisconsin,1508
Arkansas,Florida,1503
Missouri,Tennessee,1499
Kentucky,Tennessee,1496
Ohio,Nevada,1495
Oklahoma,Washington,1489
Wisconsin,Indiana,1483
Louisiana,Oklahoma,1481
Mississippi,Oklahoma,1469
Maryland,North Carolina,1462
Virginia,Colorado,1455
Kansas,Washington,1448
New York,Utah,1436
Georgia,Hawaii,1433
Connecticut,Colorado,1430
New Jersey,Ohio,1424
Maryland,South Carolina,1414
Pennsylvania,Washington,1412
California,Mississippi,1410
Mississippi,Michigan,1406
Alaska,New Mexico,1406
Wisconsin,Colorado,1405
Nebraska,Missouri,1397
Georgia,Iowa,1396
Connecticut,New Jersey,1394
Puerto Rico,Kentucky,1393
New Mexico,Georgia,1388
Idaho,Georgia,1381
Alaska,Texas,1378
Kentucky,Arizona,1375
Vermont,Pennsylvania,1370
New Mexico,Utah,1370
Texas,North Carolina,1367
Missouri,Mississippi,1357
Massachusetts,Arizona,1352
Tennessee,South Carolina,1352
Ohio,Minnesota,1342
New York,Tennessee,1341
Iowa,Michigan,1339
Texas,Connecticut,1335
Minnesota,Utah,1324
Indiana,Mississippi,1317
Missouri,Utah,1310
California,Kansas,1309
Connecticut,Ohio,1307
New York,Minnesota,1301
Puerto Rico,South Carolina,1297
California,Nebraska,1288
Texas,Tennessee,1274
Illinois,Oklahoma,1273
New Mexico,Oklahoma,1269
Illinois,Vermont,1266
Massachusetts,District of Columbia,1250
Louisiana,South Dakota,1241
Massachusetts,Ohio,1239
Maryland,Colorado,1238
West Virginia,Kentucky,1236
District of Columbia,Washington,1235
Tennessee,Minnesota,1234
New Mexico,Kentucky,1215
Colorado,Utah,1208
California,New Hampshire,1202
Maryland,Oregon,1197
North Carolina,Idaho,1197
Louisiana,Oregon,1196
Arizona,North Carolina,1195
Ohio,Texas,1192
Colorado,Arkansas,1191
Missouri,Georgia,1190
Delaware,Massachusetts,1186
New Jersey,Illinois,1181
Missouri,Connecticut,1176
Oregon,Colorado,1174
Vermont,Florida,1171
Iowa,Missouri,1168
Arizona,South Carolina,1166
Montana,Utah,1164
Connecticut,Illinois,1163
Ohio,South Carolina,1153
Texas,Idaho,1149
Wyoming,Idaho,1147
Florida,Nevada,1144
New Mexico,Colorado,1137
Connecticut,Rhode Island,1133
Georgia,Maine,1109
Indiana,New York,1106
Kentucky,Indiana,1106
Indiana,Minnesota,1105
Kansas,Arizona,1102
Indiana,North Carolina,1099
Kansas,Michigan,1087
Idaho,Washington,1082
Alaska,Missouri,1081
Utah,Wisconsin,1077
Florida,Nebraska,1077
Iowa,Arizona,1077
Kentucky,Utah,1068
Virginia,Utah,1064
Connecticut,Maine,1063
Indiana,Colorado,1062
Idaho,Nevada,1061
Alaska,North Carolina,1056
South Dakota,Arizona,1056
North Dakota,Idaho,1042
California,Kentucky,1035
Washington,Kentucky,1034
Texas,Indiana,1033
Minnesota,North Carolina,1032
Oklahoma,Arkansas,1019
Maryland,Arkansas,1015
Kansas,Tennessee,1008
Virginia,Arizona,1006
Idaho,Iowa,1005
North Carolina,Arkansas,1002
Maine,California,1000
North Carolina,Washington,997
Nebraska,Mississippi,996
Mississippi,North Carolina,994
Nevada,New Hampshire,993
Wyoming,Utah,989
Hawaii,Arizona,985
Puerto Rico,Tennessee,979
Michigan,Massachusetts,977
Kentucky,South Carolina,971
Texas,Rhode Island,970
Kansas,Oregon,965
South Carolina,Hawaii,964
New Jersey,Mississippi,964
Minnesota,Iowa,964
Indiana,Arkansas,958
California,Alaska,950
California,Wyoming,949
Delaware,Washington,943
Arizona,Georgia,940
Louisiana,Missouri,940
Texas,Missouri,939
Connecticut,Washington,936
Hawaii,New York,936
Mississippi,Pennsylvania,933
Ohio,Indiana,933
Massachusetts,Colorado,928
Arkansas,New York,926
New Jersey,Missouri,925
Texas,Montana,919
Mississippi,Louisiana,908
Georgia,Indiana,905
New Hampshire,Colorado,904
Maine,Wisconsin,904
Kansas,Kentucky,900
Massachusetts,Texas,899
New York,Kentucky,899
Louisiana,Indiana,896
Georgia,Nevada,892
Utah,Nebraska,887
Wyoming,Colorado,881
Louisiana,Tennessee,881
Kentucky,Arkansas,880
Ohio,Michigan,879
Hawaii,Missouri,873
New Jersey,Texas,869
Alaska,Arizona,868
New York,Maine,867
New Mexico,Nevada,866
Massachusetts,Pennsylvania,862
Georgia,Massachusetts,860
Delaware,North Carolina,859
Texas,Delaware,855
New Hampshire,Virginia,850
North Carolina,Iowa,849
Kansas,New Jersey,842
North Carolina,New Hampshire,840
Colorado,Idaho,839
New York,District of Columbia,837
New York,Oregon,833
Wisconsin,South Dakota,829
Puerto Rico,Colorado,828
Pennsylvania,Iowa,826
Kansas,South Carolina,826
New Mexico,Connecticut,825
Iowa,Oklahoma,823
Oregon,North Carolina,823
Texas,West Virginia,822
Tennessee,Iowa,818
Delaware,Georgia,818
Pennsylvania,West Virginia,817
New York,Kansas,815
West Virginia,Mississippi,812
Oklahoma,Nebraska,807
Washington,Nevada,805
Indiana,Missouri,800
Kansas,Arkansas,796
Indiana,Maryland,794
Indiana,Michigan,794
Maryland,West Virginia,789
New Mexico,North Carolina,786
Maryland,Washington,784
Minnesota,Oklahoma,782
Kansas,Colorado,782
Arkansas,Montana,781
Iowa,Colorado,778
Puerto Rico,Virginia,777
Wyoming,Arizona,777
Kansas,Iowa,776
Illinois,Louisiana,776
Mississippi,Virginia,774
Connecticut,Minnesota,772
Hawaii,Mississippi,771
Wisconsin,South Carolina,770
Oklahoma,Michigan,770
Ohio,Hawaii,768
New Mexico,Tennessee,762
Louisiana,Kentucky,762
Iowa,Virginia,761
Montana,New Mexico,755
Florida,Rhode Island,751
Illinois,Delaware,737
Tennessee,District of Columbia,735
Connecticut,District of Columbia,735
Delaware,Arizona,734
Connecticut,Maryland,734
Idaho,Massachusetts,732
Louisiana,Wisconsin,728
Pennsylvania,Georgia,718
Wisconsin,Kentucky,718
Georgia,Utah,715
Oklahoma,Utah,715
Kansas,Florida,715
Montana,Washington,714
Virginia,Wisconsin,710
Arkansas,Wyoming,710
Mississippi,Arizona,708
New Jersey,Utah,707
Michigan,Arizona,703
Louisiana,South Carolina,703
Arkansas,Arizona,703
Oregon,Nevada,699
Massachusetts,Illinois,697
Iowa,Ohio,696
Minnesota,Nevada,690
New York,Washington,688
Utah,Massachusetts,685
Connecticut,Georgia,685
Wisconsin,Minnesota,682
Nebraska,Illinois,675
Arizona,New Mexico,674
Connecticut,Pennsylvania,674
Illinois,New Mexico,665
Pennsylvania,North Dakota,664
Michigan,California,664
Puerto Rico,North Dakota,664
Wisconsin,Oregon,662
Missouri,Maine,659
New Hampshire,Ohio,658
Illinois,New Hampshire,658
California,Rhode Island,655
Illinois,Montana,652
New Mexico,Virginia,650
Illinois,Utah,650
Utah,Michigan,646
Arkansas,Ohio,644
Washington,Mississippi,643
Wyoming,Vermont,643
Alaska,Maryland,636
Louisiana,Virginia,632
Alaska,Oklahoma,631
North Carolina,Utah,630
Tennessee,Colorado,630
Wyoming,Georgia,630
North Dakota,Montana,627
South Dakota,Nevada,626
Michigan,Montana,626
Delaware,Colorado,620
Louisiana,Colorado,620
South Dakota,Pennsylvania,618
Utah,Kansas,614
Oregon,Michigan,606
Nebraska,Kansas,602
Illinois,Hawaii,602
Louisiana,Massachusetts,598
Delaware,Virginia,597
Rhode Island,Puerto Rico,595
Kentucky,Pennsylvania,593
Georgia,Oregon,590
New Mexico,Wisconsin,587
Louisiana,New Mexico,586
Arizona,Maryland,581
Idaho,Oregon,578
Florida,District of Columbia,577
New Hampshire,South Carolina,574
Puerto Rico,Arkansas,573
Connecticut,Kentucky,572
Alaska,Idaho,571
North Dakota,North Carolina,571
Maryland,New Hampshire,570
Hawaii,Utah,570
Alaska,Georgia,564
Texas,New Hampshire,562
New York,Nebraska,560
Ohio,Washington,560
Rhode Island,Pennsylvania,558
Florida,North Dakota,553
West Virginia,Indiana,552
Connecticut,Nevada,551
Washington,Texas,550
Virginia,Michigan,548
New Hampshire,Louisiana,548
Alaska,Montana,545
Georgia,Michigan,545
Nevada,Virginia,544
Alaska,Colorado,543
Wyoming,Michigan,542
Nevada,Kansas,540
Alaska,Connecticut,540
Virginia,Wyoming,538
Washington,Iowa,538
Rhode Island,Colorado,538
Delaware,Kentucky,537
Minnesota,Massachusetts,534
Nevada,Iowa,534
Puerto Rico,New Hampshire,533
New Jersey,Nevada,527
Minnesota,Montana,526
Nevada,Massachusetts,525
Maryland,Tennessee,520
Arkansas,Iowa,517
Delaware,Nevada,517
Maryland,Kentucky,514
Iowa,Hawaii,513
Vermont,Indiana,512
South Dakota,Illinois,509
Montana,South Carolina,506
Virginia,Idaho,505
South Dakota,Oregon,505
Puerto Rico,Minnesota,503
North Dakota,Missouri,503
New Mexico,Oregon,502
Illinois,New York,502
Colorado,Missouri,501
New Jersey,New Hampshire,500
Alaska,Kansas,498
Nebraska,Washington,498
New Jersey,Tennessee,494
Missouri,Massachusetts,494
Alaska,Florida,494
Washington,Tennessee,494
Idaho,New York,490
Kansas,Missouri,488
Minnesota,Nebraska,488
Hawaii,South Dakota,486
Utah,Idaho,484
California,South Carolina,484
Oregon,Nebraska,482
Utah,Arkansas,480
Florida,Iowa,479
West Virginia,North Carolina,479
Tennessee,North Dakota,478
North Carolina,Tennessee,476
Florida,Idaho,474
Pennsylvania,Maine,473
Wyoming,North Dakota,472
South Carolina,North Dakota,470
Virginia,Ohio,470
Maryland,Nebraska,466
South Carolina,Colorado,465
Washington,Arkansas,465
Indiana,District of Columbia,460
Arkansas,Tennessee,460
Minnesota,Virginia,458
Iowa,Wyoming,457
Virginia,Montana,456
Louisiana,Maine,455
Puerto Rico,Louisiana,455
Iowa,Alaska,454
Illinois,Alaska,453
Indiana,Puerto Rico,451
Mississippi,Wisconsin,451
Utah,Arizona,450
Florida,West Virginia,448
Florida,Montana,447
New Mexico,Minnesota,447
Connecticut,Vermont,446
Wisconsin,Massachusetts,444
Massachusetts,South Carolina,443
Missouri,Idaho,442
Pennsylvania,Wisconsin,440
New York,Louisiana,438
Iowa,Indiana,435
Nevada,Oklahoma,433
Georgia,District of Columbia,430
Georgia,Kentucky,428
Alaska,Massachusetts,428
Washington,Wisconsin,425
Kansas,North Carolina,425
New Jersey,Vermont,425
Arkansas,Louisiana,422
Hawaii,Pennsylvania,421
Colorado,West Virginia,421
Wyoming,South Dakota,418
New Jersey,Kentucky,418
South Carolina,Utah,417
Pennsylvania,Nevada,417
Michigan,Idaho,414
Nebraska,Arizona,414
Michigan,West Virginia,413
Connecticut,Kansas,412
Utah,Indiana,411
Massachusetts,Virginia,410
New Jersey,Maine,408
Utah,Iowa,408
Connecticut,Michigan,407
Minnesota,Alaska,406
Kansas,West Virginia,405
Montana,Rhode Island,403
Colorado,Maine,401
New York,Montana,398
South Dakota,Kansas,397
Mississippi,New Mexico,394
Oklahoma,Indiana,392
Michigan,Nevada,392
Rhode Island,Washington,391
Alaska,Nevada,391
New Hampshire,Arizona,388
Puerto Rico,Oklahoma,386
Puerto Rico,Nevada,384
Rhode Island,New York,381
Massachusetts,Hawaii,381
Minnesota,Pennsylvania,381
Tennessee,Indiana,377
Alaska,Virginia,376
New Mexico,Missouri,376
Kentucky,Massachusetts,375
South Dakota,Indiana,372
Ohio,Alaska,369
Michigan,Delaware,369
Florida,Hawaii,368
West Virginia,Iowa,368
Mississippi,Oregon,367
Montana,Oklahoma,366
California,Louisiana,365
New Mexico,Massachusetts,364
Michigan,District of Columbia,363
Maryland,Louisiana,362
Mississippi,Utah,361
Louisiana,District of Columbia,361
New Mexico,Kansas,359
North Carolina,Wisconsin,358
Puerto Rico,South Dakota,358
Wisconsin,Arkansas,357
Puerto Rico,District of Columbia,356
Nebraska,South Dakota,355
Mississippi,North Dakota,354
Michigan,Louisiana,352
California,Vermont,351
Minnesota,South Carolina,349
New Mexico,Pennsylvania,348
Puerto Rico,Kansas,347
Nebraska,Indiana,347
Iowa,New Mexico,346
Minnesota,Georgia,344
